polygon_id,zone_layer,source_band,zone_id,count,mean,sum,min,max,Scenario,percentage_of_sum,LST Zone
Global,lst_classification_intervention_map.tif,Población femenina,3,4776,0.08805972,420.57324,0.0,0.92619354,Intervención,40.74067306518555,Zona de impacto
Global,lst_classification_intervention_map.tif,Población femenina,4,36,0.010474328,0.3770758,0.0,0.09426895,Intervención,0.03652710095047951,Zona núcleo
Global,lst_classification_twin_map.tif,Hogares con jefes de familia de 60 años y más,1,4305,0.0037135105,15.986663,0.0,0.029326849,Base,10.319114685058594,Fondo Térmico Urbano
Global,lst_classification_twin_map.tif,Hogares con jefes de familia de 60 años y más,2,3515,0.01642812,57.744843,0.0,0.07267443,Base,37.27329635620117,Zona de transición
Global,lst_classification_twin_map.tif,Hogares con jefes de familia de 60 años y más,3,5486,0.014650604,80.373215,0.0,0.07267443,Base,51.879520416259766,Zona de impacto
Global,lst_classification_twin_map.tif,Hogares con jefes de familia de 60 años y más,4,143,0.0057210163,0.81810534,0.0,0.024406312,Base,0.5280728340148926,Zona núcleo
Global,lst_classification_intervention_map.tif,Hogares con jefes de familia de 60 años y más,1,4449,0.004419172,19.660896,0.0,0.036567535,Intervención,12.690767288208008,Fondo Térmico Urbano
Global,lst_classification_intervention_map.tif,Hogares con jefes de familia de 60 años y más,2,4188,0.017431706,73.00398,0.0,0.05971115,Intervención,47.122802734375,Zona de transición
Global,lst_classification_intervention_map.tif,Hogares con jefes de familia de 60 años y más,3,4776,0.013024374,62.20441,0.0,0.07267443,Intervención,40.1518669128418,Zona de impacto
Global,lst_classification_intervention_map.tif,Hogares con jefes de familia de 60 años y más,4,36,0.0014873297,0.05354387,0.0,0.013385967,Intervención,0.034561637789011,Zona núcleo
Global,lst_classification_twin_map.tif,Total de hogares,1,4305,0.02175943,93.67435,0.0,0.10958889,Base,13.573630332946777,Fondo Térmico Urbano
Global,lst_classification_twin_map.tif,Total de hogares,2,3515,0.07363123,258.81375,0.0,0.6177319,Base,37.502716064453125,Zona de transición
Global,lst_classification_twin_map.tif,Total de hogares,3,5486,0.061080053,335.08517,0.0,0.6177319,Base,48.55461883544922,Zona de impacto
Global,lst_classification_twin_map.tif,Total de hogares,4,143,0.017809775,2.5467978,0.0,0.07321884,Base,0.3690369129180908,Zona núcleo
Global,lst_classification_intervention_map.tif,Total de hogares,1,4449,0.024102755,107.233154,0.0,0.11945379,Intervención,15.53833293914795,Fondo Térmico Urbano
Global,lst_classification_intervention_map.tif,Total de hogares,2,4188,0.0726182,304.12503,0.0,0.45084572,Intervención,44.068424224853516,Zona de transición
Global,lst_classification_intervention_map.tif,Total de hogares,3,4776,0.05831423,278.50876,0.0,0.6177319,Intervención,40.3565673828125,Zona de impacto
Global,lst_classification_intervention_map.tif,Total de hogares,4,36,0.0070310044,0.25311616,0.0,0.06327904,Intervención,0.03667711839079857,Zona núcleo
Global,lst_classification_twin_map.tif,Población con discapacidad,1,4305,0.0034459622,14.8348675,0.0,0.027297856,Base,14.190811157226562,Fondo Térmico Urbano
Global,lst_classification_twin_map.tif,Población con discapacidad,2,3515,0.011111093,39.055492,0.0,0.061499536,Base,37.35989761352539,Zona de transición
Global,lst_classification_twin_map.tif,Población con discapacidad,3,5486,0.009220768,50.585133,0.0,0.061499536,Base,48.38897705078125,Zona de impacto
Global,lst_classification_twin_map.tif,Población con discapacidad,4,143,0.00044090583,0.06304953,0.0,0.015762383,Base,0.06031223386526108,Zona núcleo
Global,lst_classification_intervention_map.tif,Población con discapacidad,1,4449,0.0038587013,17.167362,0.0,0.027297856,Intervención,16.422040939331055,Fondo Térmico Urbano
Global,lst_classification_intervention_map.tif,Población con discapacidad,2,4188,0.011804438,49.43699,0.0,0.038900252,Intervención,47.290679931640625,Zona de transición
Global,lst_classification_intervention_map.tif,Población con discapacidad,3,4776,0.0079294685,37.871143,0.0,0.061499536,Intervención,36.226966857910156,Zona de impacto
Global,lst_classification_intervention_map.tif,Población con discapacidad,4,36,0.0017513759,0.06304953,0.0,0.015762383,Intervención,0.06031223386526108,Zona núcleo
Global,lst_classification_twin_map.tif,Viviendas particulares habitadas sin agua entubada,1,4305,0.0,0.0,0.0,0.0,Base,0.0,Fondo Térmico Urbano
Global,lst_classification_twin_map.tif,Viviendas particulares habitadas sin agua entubada,2,3515,0.0006630153,2.3304987,0.0,0.0067752674,Base,77.68328094482422,Zona de transición
Global,lst_classification_twin_map.tif,Viviendas particulares habitadas sin agua entubada,3,5486,0.00012203818,0.6695015,0.0,0.006864752,Base,22.316713333129883,Zona de impacto
Global,lst_classification_twin_map.tif,Viviendas particulares habitadas sin agua entubada,4,143,0.0,0.0,0.0,0.0,Base,0.0,Zona núcleo
Global,lst_classification_intervention_map.tif,Viviendas particulares habitadas sin agua entubada,1,4449,0.0,0.0,0.0,0.0,Intervención,0.0,Fondo Térmico Urbano
Global,lst_classification_intervention_map.tif,Viviendas particulares habitadas sin agua entubada,2,4188,0.00066978275,2.8050501,0.0,0.006864752,Intervención,93.50166320800781,Zona de transición
Global,lst_classification_intervention_map.tif,Viviendas particulares habitadas sin agua entubada,3,4776,4.081871e-05,0.19495016,0.0,0.006864752,Intervención,6.498338222503662,Zona de impacto
Global,lst_classification_intervention_map.tif,Viviendas particulares habitadas sin agua entubada,4,36,0.0,0.0,0.0,0.0,Intervención,0.0,Zona núcleo
Global,lst_classification_twin_map.tif,Vivienda totales,1,4305,0.021805083,93.87088,0.0,0.109587744,Base,13.582497596740723,Fondo Térmico Urbano
Global,lst_classification_twin_map.tif,Vivienda totales,2,3515,0.073839344,259.5453,0.0,0.61772543,Base,37.55449295043945,Zona de transición
Global,lst_classification_twin_map.tif,Vivienda totales,3,5486,0.06109252,335.15356,0.0,0.61772543,Base,48.49451446533203,Zona de impacto
